Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 10000 | 7.56e-11 3.08e-06 |  2.3338e+00  2.3188e+00 2.65e-03 | 256.0 | 1.3e+02 |
 10100 | 7.94e-11 2.17e-06 |  2.3337e+00  2.3188e+00 2.63e-03 | 258.6 | 1.4e+02 |
 10200 | 8.34e-11 1.63e-06 |  2.3336e+00  2.3188e+00 2.62e-03 | 261.2 | 1.4e+02 |
 10300 | 8.96e-11 1.52e-06 |  2.3335e+00  2.3188e+00 2.61e-03 | 263.7 | 1.5e+02 |
 10400 | 9.16e-11 1.97e-06 |  2.3335e+00  2.3188e+00 2.61e-03 | 266.3 | 1.6e+02 |
 10500 | 9.79e-11 1.70e-06 |  2.3335e+00  2.3188e+00 2.60e-03 | 268.8 | 1.7e+02 |
 10600 | 1.02e-10 1.86e-06 |  2.3335e+00  2.3188e+00 2.60e-03 | 271.4 | 1.8e+02 |
 10700 | 1.07e-10 2.43e-06 |  2.3335e+00  2.3188e+00 2.60e-03 | 274.0 | 1.9e+02 |
 10800 | 1.12e-10 2.29e-06 |  2.3335e+00  2.3188e+00 2.60e-03 | 276.5 | 1.9e+02 |
 10900 | 1.16e-10 2.22e-06 |  2.3335e+00  2.3188e+00 2.60e-03 | 279.1 | 2.0e+02 |
 switching to normal ADMM!
 11000 | 3.27e-03 1.30e-05 |  2.3335e+00  2.3188e+00 2.59e-03 | 281.6 | 2.1e+02 |
 11100 | 2.14e-03 4.96e-06 |  2.3335e+00  2.3188e+00 2.59e-03 | 283.9 | 2.1e+02 |
 11200 | 1.96e-03 2.44e-06 |  2.3335e+00  2.3189e+00 2.59e-03 | 286.3 | 1.3e+02 |
 11300 | 1.92e-03 3.90e-06 |  2.3335e+00  2.3189e+00 2.57e-03 | 288.6 | 7.7e+01 |
 11400 | 1.86e-03 3.54e-06 |  2.3334e+00  2.3189e+00 2.56e-03 | 290.9 | 4.6e+01 |
 11500 | 1.80e-03 6.90e-06 |  2.3334e+00  2.3190e+00 2.55e-03 | 293.2 | 2.8e+01 |
 11600 | 1.72e-03 1.39e-05 |  2.3333e+00  2.3190e+00 2.53e-03 | 295.5 | 1.7e+01 |
 11700 | 1.62e-03 2.68e-05 |  2.3332e+00  2.3190e+00 2.51e-03 | 297.8 | 9.9e+00 |
 11800 | 1.51e-03 4.83e-05 |  2.3331e+00  2.3190e+00 2.50e-03 | 300.1 | 6.0e+00 |
 11900 | 1.39e-03 8.39e-05 |  2.3330e+00  2.3187e+00 2.53e-03 | 302.4 | 3.6e+00 |
 12000 | 1.26e-03 1.41e-04 |  2.3329e+00  2.3180e+00 2.63e-03 | 304.7 | 2.1e+00 |
 12100 | 1.15e-03 2.23e-04 |  2.3327e+00  2.3169e+00 2.80e-03 | 307.0 | 1.3e+00 |
 12200 | 1.06e-03 3.38e-04 |  2.3325e+00  2.3146e+00 3.18e-03 | 309.3 | 7.7e-01 |
 12300 | 9.69e-04 5.09e-04 |  2.3323e+00  2.3091e+00 4.11e-03 | 311.6 | 4.6e-01 |
 12400 | 8.79e-04 7.74e-04 |  2.3320e+00  2.2976e+00 6.11e-03 | 313.9 | 2.8e-01 |
 12500 | 7.89e-04 1.03e-03 |  2.3314e+00  2.2872e+00 7.87e-03 | 316.2 | 2.8e-01 |
 12600 | 7.32e-04 9.91e-04 |  2.3304e+00  2.2921e+00 6.82e-03 | 318.5 | 4.6e-01 |
 12700 | 7.04e-04 8.92e-04 |  2.3294e+00  2.2970e+00 5.75e-03 | 320.9 | 7.7e-01 |
 12800 | 7.11e-04 8.00e-04 |  2.3283e+00  2.3001e+00 5.00e-03 | 323.2 | 1.3e+00 |
 12900 | 7.64e-04 7.09e-04 |  2.3268e+00  2.3025e+00 4.33e-03 | 325.5 | 2.1e+00 |
 13000 | 7.13e-04 6.45e-04 |  2.3259e+00  2.3057e+00 3.59e-03 | 327.8 | 1.3e+00 |
 13100 | 6.19e-04 6.60e-04 |  2.3256e+00  2.3091e+00 2.94e-03 | 330.1 | 7.7e-01 |
 13200 | 5.38e-04 6.68e-04 |  2.3254e+00  2.3094e+00 2.85e-03 | 332.4 | 1.3e+00 |
 13300 | 4.80e-04 6.34e-04 |  2.3248e+00  2.3099e+00 2.65e-03 | 334.7 | 2.1e+00 |
 13400 | 5.04e-04 5.80e-04 |  2.3235e+00  2.3107e+00 2.27e-03 | 337.0 | 3.6e+00 |
 13500 | 6.11e-04 5.22e-04 |  2.3210e+00  2.3115e+00 1.70e-03 | 339.3 | 6.0e+00 |
 13600 | 6.01e-04 4.88e-04 |  2.3193e+00  2.3129e+00 1.13e-03 | 341.6 | 3.6e+00 |
 13700 | 5.46e-04 4.63e-04 |  2.3184e+00  2.3149e+00 6.36e-04 | 343.9 | 2.1e+00 |
