Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 60900 | 1.50e-04 4.13e-05 |  2.3239e+00  2.3269e+00 5.32e-04 | 1376.1 | 1.3e+00 |
 61000 | 1.18e-04 7.47e-05 |  2.3239e+00  2.3260e+00 3.81e-04 | 1378.3 | 7.7e-01 |
 61100 | 8.11e-05 1.40e-04 |  2.3238e+00  2.3253e+00 2.61e-04 | 1380.4 | 4.6e-01 |
 61200 | 5.26e-05 1.60e-04 |  2.3237e+00  2.3255e+00 3.24e-04 | 1382.6 | 7.7e-01 |
 61300 | 6.64e-05 1.41e-04 |  2.3235e+00  2.3260e+00 4.41e-04 | 1384.8 | 1.3e+00 |
 61400 | 1.34e-04 1.03e-04 |  2.3233e+00  2.3264e+00 5.38e-04 | 1387.0 | 2.1e+00 |
 61500 | 1.53e-04 5.18e-05 |  2.3232e+00  2.3272e+00 6.97e-04 | 1389.1 | 1.3e+00 |
 61600 | 1.30e-04 7.83e-05 |  2.3232e+00  2.3281e+00 8.55e-04 | 1391.3 | 7.7e-01 |
 61700 | 8.94e-05 1.58e-04 |  2.3233e+00  2.3286e+00 9.35e-04 | 1393.5 | 6.0e-01 |
 61800 | 6.85e-05 1.68e-04 |  2.3235e+00  2.3281e+00 8.25e-04 | 1395.6 | 1.0e+00 |
 61900 | 1.04e-04 1.25e-04 |  2.3237e+00  2.3275e+00 6.88e-04 | 1397.8 | 1.7e+00 |
 62000 | 1.57e-04 7.13e-05 |  2.3238e+00  2.3272e+00 5.92e-04 | 1400.0 | 1.7e+00 |
 62100 | 1.33e-04 4.63e-05 |  2.3239e+00  2.3266e+00 4.76e-04 | 1402.2 | 1.0e+00 |
 62200 | 9.55e-05 1.00e-04 |  2.3238e+00  2.3256e+00 3.21e-04 | 1404.3 | 6.0e-01 |
 62300 | 6.24e-05 1.47e-04 |  2.3237e+00  2.3254e+00 3.00e-04 | 1406.5 | 6.0e-01 |
 62400 | 4.99e-05 1.44e-04 |  2.3236e+00  2.3257e+00 3.80e-04 | 1408.7 | 1.0e+00 |
 62500 | 9.23e-05 1.15e-04 |  2.3234e+00  2.3262e+00 4.86e-04 | 1410.8 | 1.7e+00 |
 62600 | 1.42e-04 7.18e-05 |  2.3233e+00  2.3266e+00 5.84e-04 | 1413.0 | 1.7e+00 |
 62700 | 1.35e-04 4.52e-05 |  2.3232e+00  2.3275e+00 7.48e-04 | 1415.2 | 1.0e+00 |
 62800 | 1.02e-04 1.14e-04 |  2.3233e+00  2.3283e+00 8.83e-04 | 1417.3 | 6.0e-01 |
 62900 | 6.47e-05 1.78e-04 |  2.3234e+00  2.3285e+00 8.98e-04 | 1419.5 | 6.0e-01 |
 63000 | 5.90e-05 1.66e-04 |  2.3235e+00  2.3279e+00 7.65e-04 | 1421.7 | 1.0e+00 |
 63100 | 1.20e-04 1.17e-04 |  2.3237e+00  2.3274e+00 6.52e-04 | 1423.8 | 1.7e+00 |
 63200 | 1.65e-04 6.11e-05 |  2.3239e+00  2.3271e+00 5.69e-04 | 1426.0 | 1.7e+00 |
 63300 | 1.36e-04 5.11e-05 |  2.3239e+00  2.3264e+00 4.42e-04 | 1428.2 | 1.0e+00 |
 63400 | 1.00e-04 1.10e-04 |  2.3239e+00  2.3255e+00 2.91e-04 | 1430.3 | 6.0e-01 |
 63500 | 6.48e-05 1.59e-04 |  2.3238e+00  2.3252e+00 2.59e-04 | 1432.5 | 6.0e-01 |
 63600 | 5.16e-05 1.56e-04 |  2.3236e+00  2.3256e+00 3.53e-04 | 1434.7 | 1.0e+00 |
 63700 | 9.90e-05 1.25e-04 |  2.3234e+00  2.3261e+00 4.72e-04 | 1436.8 | 1.7e+00 |
 63800 | 1.54e-04 7.71e-05 |  2.3233e+00  2.3266e+00 5.82e-04 | 1439.0 | 1.7e+00 |
 63900 | 1.47e-04 4.84e-05 |  2.3232e+00  2.3275e+00 7.62e-04 | 1441.2 | 1.0e+00 |
 64000 | 1.11e-04 1.26e-04 |  2.3233e+00  2.3284e+00 9.01e-04 | 1443.4 | 6.0e-01 |
 64100 | 6.89e-05 1.74e-04 |  2.3234e+00  2.3283e+00 8.70e-04 | 1445.5 | 7.7e-01 |
 64200 | 7.36e-05 1.54e-04 |  2.3236e+00  2.3278e+00 7.40e-04 | 1447.7 | 1.3e+00 |
 64300 | 1.48e-04 1.02e-04 |  2.3238e+00  2.3273e+00 6.21e-04 | 1449.9 | 2.1e+00 |
 64400 | 1.54e-04 4.46e-05 |  2.3239e+00  2.3268e+00 5.20e-04 | 1452.0 | 1.3e+00 |
 64500 | 1.16e-04 7.47e-05 |  2.3239e+00  2.3259e+00 3.66e-04 | 1454.2 | 7.7e-01 |
 64600 | 7.82e-05 1.37e-04 |  2.3238e+00  2.3252e+00 2.43e-04 | 1456.4 | 4.6e-01 |
 64700 | 5.11e-05 1.53e-04 |  2.3237e+00  2.3254e+00 2.97e-04 | 1458.5 | 7.7e-01 |
 64800 | 6.67e-05 1.34e-04 |  2.3235e+00  2.3258e+00 4.03e-04 | 1460.7 | 1.3e+00 |
 64900 | 1.31e-04 9.67e-05 |  2.3234e+00  2.3262e+00 4.94e-04 | 1462.9 | 2.1e+00 |
 65000 | 1.47e-04 4.91e-05 |  2.3233e+00  2.3269e+00 6.44e-04 | 1465.1 | 1.3e+00 |
 65100 | 1.22e-04 7.53e-05 |  2.3233e+00  2.3278e+00 8.04e-04 | 1467.2 | 7.7e-01 |
 65200 | 8.45e-05 1.62e-04 |  2.3234e+00  2.3286e+00 9.20e-04 | 1469.4 | 4.6e-01 |
 65300 | 5.24e-05 1.84e-04 |  2.3235e+00  2.3281e+00 8.18e-04 | 1471.6 | 7.7e-01 |
 65400 | 8.83e-05 1.46e-04 |  2.3237e+00  2.3275e+00 6.78e-04 | 1473.7 | 1.3e+00 |
 65500 | 1.62e-04 9.30e-05 |  2.3239e+00  2.3272e+00 5.88e-04 | 1475.9 | 2.1e+00 |
 65600 | 1.59e-04 3.99e-05 |  2.3240e+00  2.3267e+00 4.88e-04 | 1478.1 | 1.3e+00 |
 65700 | 1.21e-04 8.34e-05 |  2.3239e+00  2.3258e+00 3.30e-04 | 1480.3 | 7.7e-01 |
 65800 | 8.27e-05 1.48e-04 |  2.3239e+00  2.3249e+00 1.93e-04 | 1482.4 | 4.6e-01 |
 65900 | 5.29e-05 1.66e-04 |  2.3237e+00  2.3252e+00 2.63e-04 | 1484.6 | 7.7e-01 |
 66000 | 7.03e-05 1.46e-04 |  2.3236e+00  2.3257e+00 3.87e-04 | 1486.8 | 1.3e+00 |
 66100 | 1.40e-04 1.05e-04 |  2.3234e+00  2.3261e+00 4.89e-04 | 1488.9 | 2.1e+00 |
 66200 | 1.59e-04 5.18e-05 |  2.3232e+00  2.3270e+00 6.65e-04 | 1491.1 | 1.3e+00 |
 66300 | 1.34e-04 8.25e-05 |  2.3233e+00  2.3279e+00 8.19e-04 | 1493.3 | 7.7e-01 |
 66400 | 9.17e-05 1.65e-04 |  2.3234e+00  2.3285e+00 9.02e-04 | 1495.4 | 6.0e-01 |
 66500 | 5.89e-05 1.75e-04 |  2.3235e+00  2.3280e+00 7.92e-04 | 1497.6 | 1.0e+00 |
 66600 | 1.11e-04 1.30e-04 |  2.3237e+00  2.3274e+00 6.53e-04 | 1499.8 | 1.7e+00 |
 66700 | 1.67e-04 7.14e-05 |  2.3239e+00  2.3270e+00 5.59e-04 | 1501.9 | 1.7e+00 |
 66800 | 1.40e-04 4.92e-05 |  2.3239e+00  2.3263e+00 4.25e-04 | 1504.1 | 1.0e+00 |
 66900 | 9.94e-05 1.10e-04 |  2.3239e+00  2.3254e+00 2.65e-04 | 1506.3 | 6.0e-01 |
 67000 | 6.34e-05 1.56e-04 |  2.3238e+00  2.3251e+00 2.35e-04 | 1508.4 | 6.0e-01 |
 67100 | 5.12e-05 1.51e-04 |  2.3236e+00  2.3254e+00 3.14e-04 | 1510.6 | 1.0e+00 |
 67200 | 9.88e-05 1.20e-04 |  2.3235e+00  2.3259e+00 4.29e-04 | 1512.8 | 1.7e+00 |
 67300 | 1.51e-04 7.34e-05 |  2.3233e+00  2.3263e+00 5.37e-04 | 1515.0 | 1.7e+00 |
 67400 | 1.42e-04 4.76e-05 |  2.3233e+00  2.3273e+00 7.17e-04 | 1517.1 | 1.0e+00 |
 67500 | 1.07e-04 1.22e-04 |  2.3233e+00  2.3282e+00 8.60e-04 | 1519.3 | 6.0e-01 |
 67600 | 6.58e-05 1.69e-04 |  2.3234e+00  2.3281e+00 8.28e-04 | 1521.5 | 7.7e-01 |
 67700 | 7.22e-05 1.49e-04 |  2.3236e+00  2.3276e+00 7.13e-04 | 1523.6 | 1.3e+00 |
 67800 | 1.47e-04 9.88e-05 |  2.3238e+00  2.3272e+00 6.00e-04 | 1525.8 | 2.1e+00 |
 67900 | 1.53e-04 4.28e-05 |  2.3239e+00  2.3267e+00 5.01e-04 | 1528.0 | 1.3e+00 |
 68000 | 1.14e-04 7.69e-05 |  2.3239e+00  2.3258e+00 3.47e-04 | 1530.1 | 7.7e-01 |
 68100 | 7.64e-05 1.38e-04 |  2.3238e+00  2.3250e+00 2.13e-04 | 1532.3 | 4.6e-01 |
 68200 | 4.93e-05 1.54e-04 |  2.3237e+00  2.3252e+00 2.67e-04 | 1534.5 | 7.7e-01 |
 68300 | 6.83e-05 1.33e-04 |  2.3236e+00  2.3257e+00 3.70e-04 | 1536.6 | 1.3e+00 |
 68400 | 1.33e-04 9.48e-05 |  2.3234e+00  2.3260e+00 4.62e-04 | 1538.8 | 2.1e+00 |
 68500 | 1.48e-04 4.77e-05 |  2.3233e+00  2.3268e+00 6.15e-04 | 1541.0 | 1.3e+00 |
 68600 | 1.23e-04 7.84e-05 |  2.3233e+00  2.3277e+00 7.76e-04 | 1543.1 | 7.7e-01 |
 68700 | 8.34e-05 1.53e-04 |  2.3234e+00  2.3282e+00 8.55e-04 | 1545.3 | 6.0e-01 |
 68800 | 5.45e-05 1.62e-04 |  2.3235e+00  2.3278e+00 7.65e-04 | 1547.5 | 1.0e+00 |
 68900 | 1.04e-04 1.19e-04 |  2.3237e+00  2.3273e+00 6.39e-04 | 1549.7 | 1.7e+00 |
 69000 | 1.56e-04 6.65e-05 |  2.3239e+00  2.3269e+00 5.44e-04 | 1551.8 | 1.7e+00 |
 69100 | 1.31e-04 4.76e-05 |  2.3239e+00  2.3263e+00 4.26e-04 | 1554.0 | 1.0e+00 |
 69200 | 9.27e-05 1.05e-04 |  2.3239e+00  2.3254e+00 2.73e-04 | 1556.2 | 6.0e-01 |
 69300 | 5.95e-05 1.48e-04 |  2.3238e+00  2.3251e+00 2.34e-04 | 1558.3 | 6.0e-01 |
 69400 | 5.03e-05 1.42e-04 |  2.3236e+00  2.3254e+00 3.10e-04 | 1560.5 | 1.0e+00 |
 69500 | 9.57e-05 1.12e-04 |  2.3235e+00  2.3259e+00 4.17e-04 | 1562.7 | 1.7e+00 |
 69600 | 1.44e-04 6.85e-05 |  2.3234e+00  2.3263e+00 5.21e-04 | 1564.8 | 1.7e+00 |
 69700 | 1.34e-04 4.67e-05 |  2.3233e+00  2.3272e+00 6.83e-04 | 1567.0 | 1.0e+00 |
 69800 | 1.00e-04 1.16e-04 |  2.3234e+00  2.3280e+00 8.18e-04 | 1569.2 | 6.0e-01 |
 69900 | 6.29e-05 1.79e-04 |  2.3235e+00  2.3282e+00 8.38e-04 | 1571.3 | 6.0e-01 |
 70000 | 5.94e-05 1.66e-04 |  2.3236e+00  2.3276e+00 7.13e-04 | 1573.5 | 1.0e+00 |
 70100 | 1.22e-04 1.17e-04 |  2.3238e+00  2.3272e+00 6.01e-04 | 1575.7 | 1.7e+00 |
 70200 | 1.68e-04 5.86e-05 |  2.3239e+00  2.3269e+00 5.17e-04 | 1577.9 | 1.7e+00 |
 70300 | 1.37e-04 5.40e-05 |  2.3240e+00  2.3261e+00 3.84e-04 | 1580.0 | 1.0e+00 |
 70400 | 1.00e-04 1.16e-04 |  2.3239e+00  2.3252e+00 2.28e-04 | 1582.2 | 6.0e-01 |
 70500 | 6.43e-05 1.63e-04 |  2.3238e+00  2.3249e+00 1.86e-04 | 1584.4 | 6.0e-01 |
 70600 | 5.23e-05 1.57e-04 |  2.3237e+00  2.3252e+00 2.78e-04 | 1586.5 | 1.0e+00 |
 70700 | 1.02e-04 1.24e-04 |  2.3235e+00  2.3258e+00 4.02e-04 | 1588.7 | 1.7e+00 |
 70800 | 1.56e-04 7.59e-05 |  2.3233e+00  2.3263e+00 5.22e-04 | 1590.9 | 1.7e+00 |
 70900 | 1.48e-04 4.95e-05 |  2.3233e+00  2.3272e+00 6.98e-04 | 1593.0 | 1.0e+00 |
 71000 | 1.12e-04 1.28e-04 |  2.3233e+00  2.3281e+00 8.41e-04 | 1595.2 | 6.0e-01 |
 71100 | 6.86e-05 1.77e-04 |  2.3235e+00  2.3281e+00 8.16e-04 | 1597.4 | 7.7e-01 |
 71200 | 7.47e-05 1.56e-04 |  2.3236e+00  2.3275e+00 6.88e-04 | 1599.5 | 1.3e+00 |
 71300 | 1.54e-04 1.03e-04 |  2.3238e+00  2.3271e+00 5.70e-04 | 1601.7 | 2.1e+00 |
 71400 | 1.60e-04 4.26e-05 |  2.3239e+00  2.3266e+00 4.69e-04 | 1603.9 | 1.3e+00 |
 71500 | 1.18e-04 8.11e-05 |  2.3239e+00  2.3257e+00 3.06e-04 | 1606.0 | 7.7e-01 |
 71600 | 8.05e-05 1.34e-04 |  2.3239e+00  2.3250e+00 1.99e-04 | 1608.2 | 6.0e-01 |
 71700 | 5.37e-05 1.39e-04 |  2.3237e+00  2.3253e+00 2.74e-04 | 1610.4 | 1.0e+00 |
 71800 | 8.42e-05 1.15e-04 |  2.3236e+00  2.3256e+00 3.65e-04 | 1612.6 | 1.7e+00 |
 71900 | 1.33e-04 7.51e-05 |  2.3234e+00  2.3261e+00 4.70e-04 | 1614.7 | 1.7e+00 |
 72000 | 1.25e-04 4.60e-05 |  2.3234e+00  2.3269e+00 6.30e-04 | 1616.9 | 1.0e+00 |
 72100 | 9.40e-05 1.01e-04 |  2.3234e+00  2.3278e+00 7.75e-04 | 1619.1 | 6.0e-01 |
 72200 | 5.94e-05 1.40e-04 |  2.3235e+00  2.3278e+00 7.57e-04 | 1621.2 | 7.7e-01 |
 72300 | 6.29e-05 1.25e-04 |  2.3236e+00  2.3274e+00 6.73e-04 | 1623.4 | 1.3e+00 |
 72400 | 1.27e-04 8.53e-05 |  2.3238e+00  2.3270e+00 5.82e-04 | 1625.6 | 2.1e+00 |
 72500 | 1.33e-04 4.05e-05 |  2.3238e+00  2.3266e+00 4.83e-04 | 1627.8 | 1.3e+00 |
 72600 | 9.93e-05 6.98e-05 |  2.3239e+00  2.3258e+00 3.51e-04 | 1629.9 | 7.7e-01 |
 72700 | 6.58e-05 1.17e-04 |  2.3238e+00  2.3253e+00 2.58e-04 | 1632.1 | 6.0e-01 |
 72800 | 4.64e-05 1.20e-04 |  2.3237e+00  2.3254e+00 2.97e-04 | 1634.3 | 1.0e+00 |
 72900 | 7.88e-05 9.64e-05 |  2.3236e+00  2.3257e+00 3.74e-04 | 1636.4 | 1.7e+00 |
 73000 | 1.20e-04 6.14e-05 |  2.3235e+00  2.3261e+00 4.61e-04 | 1638.6 | 1.7e+00 |
 73100 | 1.09e-04 4.45e-05 |  2.3235e+00  2.3268e+00 5.94e-04 | 1640.8 | 1.0e+00 |
 73200 | 8.05e-05 9.54e-05 |  2.3235e+00  2.3276e+00 7.21e-04 | 1643.0 | 6.0e-01 |
 73300 | 5.07e-05 1.27e-04 |  2.3235e+00  2.3276e+00 7.26e-04 | 1645.1 | 7.7e-01 |
 73400 | 5.79e-05 1.11e-04 |  2.3236e+00  2.3273e+00 6.58e-04 | 1647.3 | 1.3e+00 |
 73500 | 1.09e-04 7.13e-05 |  2.3237e+00  2.3270e+00 5.76e-04 | 1649.5 | 2.1e+00 |
 73600 | 1.13e-04 3.78e-05 |  2.3238e+00  2.3266e+00 4.89e-04 | 1651.6 | 1.3e+00 |
 73700 | 8.54e-05 6.30e-05 |  2.3238e+00  2.3259e+00 3.78e-04 | 1653.8 | 7.7e-01 |
 73800 | 5.79e-05 1.02e-04 |  2.3238e+00  2.3255e+00 3.00e-04 | 1656.0 | 6.0e-01 |
 73900 | 4.52e-05 1.02e-04 |  2.3237e+00  2.3256e+00 3.27e-04 | 1658.1 | 1.0e+00 |
 74000 | 7.18e-05 8.09e-05 |  2.3236e+00  2.3258e+00 3.92e-04 | 1660.3 | 1.7e+00 |
 74100 | 1.03e-04 5.25e-05 |  2.3235e+00  2.3261e+00 4.56e-04 | 1662.5 | 1.7e+00 |
 74200 | 9.17e-05 4.25e-05 |  2.3235e+00  2.3267e+00 5.60e-04 | 1664.6 | 1.0e+00 |
 74300 | 6.66e-05 8.00e-05 |  2.3235e+00  2.3272e+00 6.55e-04 | 1666.8 | 6.0e-01 |
 74400 | 4.42e-05 1.02e-04 |  2.3235e+00  2.3273e+00 6.63e-04 | 1669.0 | 7.7e-01 |
 74500 | 5.11e-05 8.97e-05 |  2.3236e+00  2.3271e+00 6.23e-04 | 1671.1 | 1.3e+00 |
 74600 | 9.52e-05 6.17e-05 |  2.3237e+00  2.3269e+00 5.68e-04 | 1673.3 | 2.1e+00 |
 74700 | 9.70e-05 3.53e-05 |  2.3237e+00  2.3265e+00 4.91e-04 | 1675.5 | 1.3e+00 |
 74800 | 7.41e-05 5.80e-05 |  2.3238e+00  2.3260e+00 3.93e-04 | 1677.6 | 7.7e-01 |
 74900 | 4.98e-05 8.79e-05 |  2.3238e+00  2.3256e+00 3.25e-04 | 1679.8 | 7.7e-01 |
 75000 | 4.60e-05 8.20e-05 |  2.3237e+00  2.3257e+00 3.49e-04 | 1682.0 | 1.3e+00 |
 75100 | 8.16e-05 5.98e-05 |  2.3237e+00  2.3259e+00 3.94e-04 | 1684.1 | 2.1e+00 |
 75200 | 8.71e-05 3.78e-05 |  2.3236e+00  2.3263e+00 4.62e-04 | 1686.3 | 1.3e+00 |
 75300 | 6.72e-05 5.48e-05 |  2.3236e+00  2.3267e+00 5.53e-04 | 1688.5 | 7.7e-01 |
 75400 | 4.48e-05 8.32e-05 |  2.3236e+00  2.3270e+00 6.03e-04 | 1690.6 | 7.7e-01 |
 75500 | 4.39e-05 7.58e-05 |  2.3236e+00  2.3269e+00 5.86e-04 | 1692.8 | 1.3e+00 |
 75600 | 7.42e-05 4.73e-05 |  2.3236e+00  2.3268e+00 5.59e-04 | 1695.0 | 2.1e+00 |
 75700 | 7.50e-05 3.11e-05 |  2.3236e+00  2.3266e+00 5.21e-04 | 1697.1 | 1.3e+00 |
 75800 | 5.66e-05 5.33e-05 |  2.3237e+00  2.3263e+00 4.61e-04 | 1699.3 | 7.7e-01 |
 75900 | 3.88e-05 7.39e-05 |  2.3237e+00  2.3260e+00 4.11e-04 | 1701.5 | 7.7e-01 |
 76000 | 4.49e-05 6.22e-05 |  2.3237e+00  2.3260e+00 4.02e-04 | 1703.7 | 1.3e+00 |
 76100 | 7.35e-05 4.09e-05 |  2.3237e+00  2.3261e+00 4.16e-04 | 1705.8 | 2.1e+00 |
 76200 | 7.04e-05 3.08e-05 |  2.3237e+00  2.3262e+00 4.45e-04 | 1708.0 | 1.3e+00 |
 76300 | 4.91e-05 5.31e-05 |  2.3237e+00  2.3264e+00 4.85e-04 | 1710.2 | 7.7e-01 |
 76400 | 3.30e-05 6.91e-05 |  2.3237e+00  2.3266e+00 5.17e-04 | 1712.3 | 7.7e-01 |
 76500 | 3.95e-05 5.88e-05 |  2.3236e+00  2.3266e+00 5.33e-04 | 1714.5 | 1.3e+00 |
 76600 | 6.79e-05 3.85e-05 |  2.3236e+00  2.3266e+00 5.29e-04 | 1716.6 | 2.1e+00 |
 76700 | 6.98e-05 2.75e-05 |  2.3236e+00  2.3265e+00 5.17e-04 | 1718.8 | 1.3e+00 |
 76800 | 5.02e-05 5.64e-05 |  2.3236e+00  2.3263e+00 4.76e-04 | 1721.0 | 7.7e-01 |
 76900 | 3.20e-05 7.66e-05 |  2.3237e+00  2.3261e+00 4.28e-04 | 1723.1 | 7.7e-01 |
 77000 | 4.52e-05 6.08e-05 |  2.3237e+00  2.3260e+00 4.09e-04 | 1725.3 | 1.3e+00 |
 77100 | 7.11e-05 3.52e-05 |  2.3238e+00  2.3261e+00 4.12e-04 | 1727.5 | 1.7e+00 |
 77200 | 6.18e-05 3.19e-05 |  2.3237e+00  2.3262e+00 4.36e-04 | 1729.6 | 1.0e+00 |
 77300 | 4.13e-05 6.25e-05 |  2.3237e+00  2.3264e+00 4.66e-04 | 1731.8 | 6.0e-01 |
 77400 | 3.00e-05 6.66e-05 |  2.3237e+00  2.3265e+00 4.94e-04 | 1734.0 | 1.0e+00 |
 77500 | 5.12e-05 4.94e-05 |  2.3236e+00  2.3265e+00 5.12e-04 | 1736.1 | 1.7e+00 |
 77600 | 7.32e-05 2.85e-05 |  2.3236e+00  2.3265e+00 5.19e-04 | 1738.3 | 1.7e+00 |
 77700 | 6.15e-05 3.90e-05 |  2.3236e+00  2.3264e+00 5.03e-04 | 1740.5 | 1.0e+00 |
 77800 | 3.99e-05 7.36e-05 |  2.3236e+00  2.3262e+00 4.62e-04 | 1742.7 | 6.0e-01 |
 77900 | 3.33e-05 7.29e-05 |  2.3237e+00  2.3260e+00 4.18e-04 | 1744.8 | 1.0e+00 |
 78000 | 6.31e-05 4.94e-05 |  2.3238e+00  2.3260e+00 4.04e-04 | 1747.0 | 1.7e+00 |
 78100 | 7.17e-05 2.66e-05 |  2.3238e+00  2.3261e+00 4.11e-04 | 1749.2 | 1.3e+00 |
 78200 | 5.34e-05 4.78e-05 |  2.3238e+00  2.3262e+00 4.33e-04 | 1751.3 | 7.7e-01 |
 78300 | 3.44e-05 7.17e-05 |  2.3237e+00  2.3263e+00 4.62e-04 | 1753.5 | 7.7e-01 |
 78400 | 3.71e-05 6.43e-05 |  2.3236e+00  2.3265e+00 4.98e-04 | 1755.7 | 1.3e+00 |
 78500 | 6.98e-05 3.70e-05 |  2.3236e+00  2.3264e+00 5.01e-04 | 1757.8 | 2.1e+00 |
 78600 | 7.12e-05 2.58e-05 |  2.3236e+00  2.3264e+00 5.04e-04 | 1760.0 | 1.3e+00 |
 78700 | 5.09e-05 5.80e-05 |  2.3236e+00  2.3263e+00 4.84e-04 | 1762.2 | 7.7e-01 |
 78800 | 3.25e-05 7.81e-05 |  2.3236e+00  2.3261e+00 4.38e-04 | 1764.3 | 7.7e-01 |
 78900 | 4.70e-05 6.15e-05 |  2.3237e+00  2.3260e+00 4.07e-04 | 1766.5 | 1.3e+00 |
 79000 | 6.80e-05 3.36e-05 |  2.3238e+00  2.3260e+00 4.02e-04 | 1768.7 | 1.3e+00 |
 79100 | 5.45e-05 3.95e-05 |  2.3238e+00  2.3261e+00 4.15e-04 | 1770.8 | 7.7e-01 |
 79200 | 3.56e-05 6.31e-05 |  2.3237e+00  2.3262e+00 4.37e-04 | 1773.0 | 7.7e-01 |
 79300 | 3.46e-05 5.75e-05 |  2.3237e+00  2.3263e+00 4.67e-04 | 1775.2 | 1.3e+00 |
 79400 | 6.35e-05 3.88e-05 |  2.3236e+00  2.3264e+00 4.94e-04 | 1777.4 | 2.1e+00 |
 79500 | 6.68e-05 2.52e-05 |  2.3236e+00  2.3264e+00 4.97e-04 | 1779.5 | 1.3e+00 |
 79600 | 4.79e-05 5.40e-05 |  2.3236e+00  2.3263e+00 4.81e-04 | 1781.7 | 7.7e-01 |
 79700 | 3.02e-05 7.42e-05 |  2.3237e+00  2.3261e+00 4.38e-04 | 1783.9 | 7.7e-01 |
 79800 | 4.42e-05 5.79e-05 |  2.3237e+00  2.3260e+00 4.07e-04 | 1786.0 | 1.3e+00 |
 79900 | 6.47e-05 3.08e-05 |  2.3238e+00  2.3260e+00 4.01e-04 | 1788.1 | 1.3e+00 |
 80000 | 5.19e-05 3.73e-05 |  2.3238e+00  2.3261e+00 4.10e-04 | 1790.3 | 7.7e-01 |
 80100 | 3.39e-05 6.07e-05 |  2.3237e+00  2.3262e+00 4.30e-04 | 1792.4 | 7.7e-01 |
 80200 | 3.30e-05 5.49e-05 |  2.3237e+00  2.3263e+00 4.58e-04 | 1794.6 | 1.3e+00 |
 80300 | 6.14e-05 3.66e-05 |  2.3236e+00  2.3263e+00 4.83e-04 | 1796.7 | 2.1e+00 |
 80400 | 6.38e-05 2.44e-05 |  2.3236e+00  2.3263e+00 4.88e-04 | 1798.8 | 1.3e+00 |
 80500 | 4.59e-05 5.17e-05 |  2.3236e+00  2.3263e+00 4.72e-04 | 1801.0 | 7.7e-01 |
 80600 | 2.93e-05 7.09e-05 |  2.3237e+00  2.3261e+00 4.32e-04 | 1803.1 | 7.7e-01 |
 80700 | 4.24e-05 5.53e-05 |  2.3237e+00  2.3260e+00 4.01e-04 | 1805.3 | 1.3e+00 |
 80800 | 6.20e-05 2.97e-05 |  2.3238e+00  2.3260e+00 3.96e-04 | 1807.4 | 1.3e+00 |
 80900 | 4.99e-05 3.50e-05 |  2.3238e+00  2.3260e+00 4.05e-04 | 1809.5 | 7.7e-01 |
 81000 | 3.31e-05 5.87e-05 |  2.3237e+00  2.3261e+00 4.23e-04 | 1811.7 | 7.7e-01 |
 81100 | 3.22e-05 5.30e-05 |  2.3237e+00  2.3262e+00 4.51e-04 | 1813.8 | 1.3e+00 |
 81200 | 5.94e-05 3.55e-05 |  2.3236e+00  2.3263e+00 4.76e-04 | 1816.0 | 2.1e+00 |
 81300 | 6.19e-05 2.44e-05 |  2.3236e+00  2.3263e+00 4.79e-04 | 1818.1 | 1.3e+00 |
 81400 | 4.46e-05 4.99e-05 |  2.3236e+00  2.3262e+00 4.64e-04 | 1820.2 | 7.7e-01 |
 81500 | 2.89e-05 6.85e-05 |  2.3237e+00  2.3261e+00 4.24e-04 | 1822.4 | 7.7e-01 |
 81600 | 4.10e-05 5.39e-05 |  2.3237e+00  2.3260e+00 3.95e-04 | 1824.5 | 1.3e+00 |
 81700 | 6.02e-05 2.94e-05 |  2.3238e+00  2.3260e+00 3.89e-04 | 1826.7 | 1.3e+00 |
 81800 | 4.89e-05 3.39e-05 |  2.3238e+00  2.3260e+00 3.98e-04 | 1828.8 | 7.7e-01 |
 81900 | 3.27e-05 5.71e-05 |  2.3237e+00  2.3261e+00 4.17e-04 | 1831.0 | 7.7e-01 |
 82000 | 3.15e-05 5.19e-05 |  2.3237e+00  2.3262e+00 4.45e-04 | 1833.1 | 1.3e+00 |
 82100 | 5.88e-05 3.50e-05 |  2.3236e+00  2.3263e+00 4.67e-04 | 1835.3 | 2.1e+00 |
 82200 | 6.05e-05 2.36e-05 |  2.3236e+00  2.3263e+00 4.73e-04 | 1837.4 | 1.3e+00 |
